EMAP ID	EMAP TERM NAME	EMAPA ID	EMAPA TERM NAME
EMAP:27879	TS23 medial segment of s-shaped body	EMAPA:27877	medial segment of s-shaped body
EMAP:27880	TS24 medial segment of s-shaped body	EMAPA:27877	medial segment of s-shaped body
EMAP:27881	TS25 medial segment of s-shaped body	EMAPA:27877	medial segment of s-shaped body
EMAP:27882	TS26 medial segment of s-shaped body	EMAPA:27877	medial segment of s-shaped body
EMAP:27884	TS22 proximal segment of s-shaped body	EMAPA:27883	proximal segment of s-shaped body
EMAP:27885	TS23 proximal segment of s-shaped body	EMAPA:27883	proximal segment of s-shaped body
EMAP:27886	TS24 proximal segment of s-shaped body	EMAPA:27883	proximal segment of s-shaped body
EMAP:27887	TS25 proximal segment of s-shaped body	EMAPA:27883	proximal segment of s-shaped body
EMAP:27888	TS26 proximal segment of s-shaped body	EMAPA:27883	proximal segment of s-shaped body
EMAP:27896	TS22 visceral epithelium of s-shaped body	EMAPA:27895	visceral epithelium of s-shaped body
EMAP:27897	TS23 visceral epithelium of s-shaped body	EMAPA:27895	visceral epithelium of s-shaped body
EMAP:27898	TS24 visceral epithelium of s-shaped body	EMAPA:27895	visceral epithelium of s-shaped body
EMAP:27899	TS25 visceral epithelium of s-shaped body	EMAPA:27895	visceral epithelium of s-shaped body
EMAP:27900	TS26 visceral epithelium of s-shaped body	EMAPA:27895	visceral epithelium of s-shaped body
EMAP:27902	TS22 parietal epithelium of s-shaped body	EMAPA:27901	parietal epithelium of s-shaped body
EMAP:27903	TS23 parietal epithelium of s-shaped body	EMAPA:27901	parietal epithelium of s-shaped body
EMAP:27904	TS24 parietal epithelium of s-shaped body	EMAPA:27901	parietal epithelium of s-shaped body
EMAP:27905	TS25 parietal epithelium of s-shaped body	EMAPA:27901	parietal epithelium of s-shaped body
EMAP:27906	TS26 parietal epithelium of s-shaped body	EMAPA:27901	parietal epithelium of s-shaped body
EMAP:27908	TS22 capillary loop renal corpuscle	EMAPA:27907	capillary loop renal corpuscle
EMAP:27909	TS23 capillary loop renal corpuscle	EMAPA:27907	capillary loop renal corpuscle
EMAP:27910	TS24 capillary loop renal corpuscle	EMAPA:27907	capillary loop renal corpuscle
EMAP:27911	TS25 capillary loop renal corpuscle	EMAPA:27907	capillary loop renal corpuscle
EMAP:27912	TS26 capillary loop renal corpuscle	EMAPA:27907	capillary loop renal corpuscle
EMAP:27914	TS22 visceral epithelium of capillary loop renal corpuscle	EMAPA:27913	visceral epithelium of capillary loop renal corpuscle
EMAP:27915	TS23 visceral epithelium of capillary loop renal corpuscle	EMAPA:27913	visceral epithelium of capillary loop renal corpuscle
EMAP:27916	TS24 visceral epithelium of capillary loop renal corpuscle	EMAPA:27913	visceral epithelium of capillary loop renal corpuscle
EMAP:27917	TS25 visceral epithelium of capillary loop renal corpuscle	EMAPA:27913	visceral epithelium of capillary loop renal corpuscle
EMAP:27918	TS26 visceral epithelium of capillary loop renal corpuscle	EMAPA:27913	visceral epithelium of capillary loop renal corpuscle
EMAP:27920	TS22 parietal epithelium	EMAPA:27919	parietal epithelium
EMAP:27921	TS23 parietal epithelium	EMAPA:27919	parietal epithelium
EMAP:27922	TS24 parietal epithelium	EMAPA:27919	parietal epithelium
EMAP:27923	TS25 parietal epithelium	EMAPA:27919	parietal epithelium
EMAP:27924	TS26 parietal epithelium	EMAPA:27919	parietal epithelium
EMAP:27926	TS22 associated interstitium of renal corpuscle	EMAPA:27925	associated interstitium of renal corpuscle
EMAP:27927	TS23 associated interstitium of renal corpuscle	EMAPA:27925	associated interstitium of renal corpuscle
EMAP:27928	TS24 associated interstitium of renal corpuscle	EMAPA:27925	associated interstitium of renal corpuscle
EMAP:27929	TS25 associated interstitium of renal corpuscle	EMAPA:27925	associated interstitium of renal corpuscle
EMAP:27930	TS26 associated interstitium of renal corpuscle	EMAPA:27925	associated interstitium of renal corpuscle
EMAP:27932	TS22 presumptive mesangium	EMAPA:27931	presumptive mesangium
EMAP:27933	TS23 presumptive mesangium	EMAPA:27931	presumptive mesangium
EMAP:27934	TS24 presumptive mesangium	EMAPA:27931	presumptive mesangium
EMAP:27935	TS25 presumptive mesangium	EMAPA:27931	presumptive mesangium
EMAP:27936	TS26 presumptive mesangium	EMAPA:27931	presumptive mesangium
EMAP:27938	TS22 presumptive endothelium of renal corpuscle	EMAPA:27937	presumptive endothelium of renal corpuscle
EMAP:27939	TS23 presumptive endothelium of renal corpuscle	EMAPA:27937	presumptive endothelium of renal corpuscle
EMAP:27940	TS24 presumptive endothelium of renal corpuscle	EMAPA:27937	presumptive endothelium of renal corpuscle
EMAP:27941	TS25 presumptive endothelium of renal corpuscle	EMAPA:27937	presumptive endothelium of renal corpuscle
EMAP:27942	TS26 presumptive endothelium of renal corpuscle	EMAPA:27937	presumptive endothelium of renal corpuscle
EMAP:27944	TS22 maturing renal corpuscle	EMAPA:27943	maturing renal corpuscle
EMAP:27945	TS23 maturing renal corpuscle	EMAPA:27943	maturing renal corpuscle
EMAP:27946	TS24 maturing renal corpuscle	EMAPA:27943	maturing renal corpuscle
EMAP:27947	TS25 maturing renal corpuscle	EMAPA:27943	maturing renal corpuscle
EMAP:27948	TS26 maturing renal corpuscle	EMAPA:27943	maturing renal corpuscle
EMAP:27950	TS22 maturing glomerular tuft	EMAPA:27949	maturing glomerular tuft
EMAP:27951	TS23 maturing glomerular tuft	EMAPA:27949	maturing glomerular tuft
EMAP:27952	TS24 maturing glomerular tuft	EMAPA:27949	maturing glomerular tuft
EMAP:27953	TS25 maturing glomerular tuft	EMAPA:27949	maturing glomerular tuft
EMAP:27954	TS26 maturing glomerular tuft	EMAPA:27949	maturing glomerular tuft
EMAP:27956	TS22 glomerular capillary system of maturing glomerular tuft	EMAPA:27955	glomerular capillary system of maturing glomerular tuft
EMAP:27957	TS23 glomerular capillary system of maturing glomerular tuft	EMAPA:27955	glomerular capillary system of maturing glomerular tuft
EMAP:27958	TS24 glomerular capillary system of maturing glomerular tuft	EMAPA:27955	glomerular capillary system of maturing glomerular tuft
EMAP:27959	TS25 glomerular capillary system of maturing glomerular tuft	EMAPA:27955	glomerular capillary system of maturing glomerular tuft
EMAP:27960	TS26 glomerular capillary system of maturing glomerular tuft	EMAPA:27955	glomerular capillary system of maturing glomerular tuft
EMAP:27962	TS22 glomerular mesangium	EMAPA:27961	glomerular mesangium
EMAP:27963	TS23 glomerular mesangium	EMAPA:27961	glomerular mesangium
EMAP:27964	TS24 glomerular mesangium	EMAPA:27961	glomerular mesangium
EMAP:27965	TS25 glomerular mesangium	EMAPA:27961	glomerular mesangium
EMAP:27966	TS26 glomerular mesangium	EMAPA:27961	glomerular mesangium
EMAP:27968	TS22 visceral epithelium of maturing renal corpuscle	EMAPA:27967	visceral epithelium of maturing renal corpuscle
EMAP:27969	TS23 visceral epithelium of maturing renal corpuscle	EMAPA:27967	visceral epithelium of maturing renal corpuscle
EMAP:27970	TS24 visceral epithelium of maturing renal corpuscle	EMAPA:27967	visceral epithelium of maturing renal corpuscle
EMAP:27971	TS25 visceral epithelium of maturing renal corpuscle	EMAPA:27967	visceral epithelium of maturing renal corpuscle
EMAP:27972	TS26 visceral epithelium of maturing renal corpuscle	EMAPA:27967	visceral epithelium of maturing renal corpuscle
EMAP:27974	TS22 Bowman's capsule	EMAPA:27973	Bowman's capsule
EMAP:27975	TS23 Bowman's capsule	EMAPA:27973	Bowman's capsule
EMAP:27976	TS24 Bowman's capsule	EMAPA:27973	Bowman's capsule
EMAP:27977	TS25 Bowman's capsule	EMAPA:27973	Bowman's capsule
EMAP:27978	TS26 Bowman's capsule	EMAPA:27973	Bowman's capsule
EMAP:27980	TS22 parietal epithelium	EMAPA:27979	parietal epithelium
EMAP:27981	TS23 parietal epithelium	EMAPA:27979	parietal epithelium
EMAP:27982	TS24 parietal epithelium	EMAPA:27979	parietal epithelium
EMAP:27983	TS25 parietal epithelium	EMAPA:27979	parietal epithelium
EMAP:27984	TS26 parietal epithelium	EMAPA:27979	parietal epithelium
EMAP:27986	TS22 urinary space of renal corpuscle	EMAPA:27985	urinary space of renal corpuscle
EMAP:27987	TS23 urinary space of renal corpuscle	EMAPA:27985	urinary space of renal corpuscle
EMAP:27988	TS24 urinary space of renal corpuscle	EMAPA:27985	urinary space of renal corpuscle
EMAP:27989	TS25 urinary space of renal corpuscle	EMAPA:27985	urinary space of renal corpuscle
EMAP:27990	TS26 urinary space of renal corpuscle	EMAPA:27985	urinary space of renal corpuscle
EMAP:27992	TS22 juxtaglomerular arteriole	EMAPA:27991	juxtaglomerular arteriole
EMAP:27993	TS23 juxtaglomerular arteriole	EMAPA:27991	juxtaglomerular arteriole
EMAP:27994	TS24 juxtaglomerular arteriole	EMAPA:27991	juxtaglomerular arteriole
EMAP:27995	TS25 juxtaglomerular arteriole	EMAPA:27991	juxtaglomerular arteriole
EMAP:27996	TS26 juxtaglomerular arteriole	EMAPA:27991	juxtaglomerular arteriole
EMAP:27998	TS22 cortical renal tubule	EMAPA:18976	cortical renal tubule
EMAP:27999	TS23 cortical renal tubule	EMAPA:18976	cortical renal tubule
EMAP:28004	TS22 early proximal tubule	EMAPA:28003	early proximal tubule
EMAP:28005	TS23 early proximal tubule	EMAPA:28003	early proximal tubule
EMAP:28006	TS24 early proximal tubule	EMAPA:28003	early proximal tubule
EMAP:28008	TS22 early distal tubule	EMAPA:28007	early distal tubule
EMAP:28009	TS23 early distal tubule	EMAPA:28007	early distal tubule
EMAP:28010	TS24 early distal tubule	EMAPA:28007	early distal tubule
EMAP:28012	TS22 renal connecting tubule	EMAPA:28011	renal connecting tubule
EMAP:28013	TS23 renal connecting tubule	EMAPA:28011	renal connecting tubule
EMAP:28014	TS24 renal connecting tubule	EMAPA:28011	renal connecting tubule
EMAP:28015	TS25 renal connecting tubule	EMAPA:28011	renal connecting tubule
EMAP:28016	TS26 renal connecting tubule	EMAPA:28011	renal connecting tubule
EMAP:28030	TS22 developing vasculature of cortex	EMAPA:28029	developing vasculature of cortex
EMAP:28036	TS22 developing arterial vasculature of cortex	EMAPA:28035	developing arterial vasculature of cortex
EMAP:28038	TS22 developing venous vasculature of cortex	EMAPA:28037	developing venous vasculature of cortex
EMAP:28040	TS22 developing capillary of cortex	EMAPA:28039	developing capillary of cortex
