term,curie,acc,name,description,is_obsolete,replacement,replacement_acc
http://purl.obolibrary.org/obo/MA_0002032,MA:0002032,MA:0002032,left pulmonary artery,,,,
http://purl.obolibrary.org/obo/MA_0003215,MA:0003215,MA:0003215,jejunum epithelium,,,,
http://purl.obolibrary.org/obo/MA_0002964,MA:0002964,MA:0002964,cerebellum posterior lobe,,,,
http://purl.obolibrary.org/obo/MA_0001870,MA:0001870,MA:0001870,right atrium auricular region,,,,
http://purl.obolibrary.org/obo/MA_0003025,MA:0003025,MA:0003025,serratus muscle,,,,
http://purl.obolibrary.org/obo/MA_0002774,MA:0002774,MA:0002774,sphenoid bone pterygoid process,,,,
http://purl.obolibrary.org/obo/MA_0001680,MA:0001680,MA:0001680,kidney tubule basement membrane,,,,
http://purl.obolibrary.org/obo/MA_0002584,MA:0002584,MA:0002584,interlobular artery,,,,
http://purl.obolibrary.org/obo/MA_0001490,MA:0001490,MA:0001490,symphysis menti,,,,
http://purl.obolibrary.org/obo/MA_0002394,MA:0002394,MA:0002394,tibialis caudalis,,,,
http://purl.obolibrary.org/obo/MA_0000707,MA:0000707,MA:0000707,artery endothelium,,,,
http://purl.obolibrary.org/obo/MA_0000517,MA:0000517,MA:0000517,trunk skin,,,,
http://purl.obolibrary.org/obo/MA_0000327,MA:0000327,MA:0000327,respiratory system,,,,
http://purl.obolibrary.org/obo/MA_0000137,MA:0000137,MA:0000137,peyer's patch,,,,
http://purl.obolibrary.org/obo/MA_0003197,MA:0003197,MA:0003197,colon muscularis mucosa,,,,
http://purl.obolibrary.org/obo/MA_0000879,MA:0000879,MA:0000879,3rd ventricle choroid plexus,,,,
http://purl.obolibrary.org/obo/MA_0002927,MA:0002927,MA:0002927,medial amygdaloid nucleus,,,,
http://purl.obolibrary.org/obo/MA_0000689,MA:0000689,MA:0000689,limb connective tissue,,,,
